Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
CL3‐20098‐048,2008,2,2,agomelatine,Yes,213,68.6,*,25‐50,Flexible,*,HAMD,17,26.30,24,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
CL3‐20098‐062,2010,2,2,agomelatine,Yes,202,43,*,25‐50,Flexible,*,HAMD,17,26.20,25,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
CL3‐20098‐070,2011,2,2,agomelatine,Yes,151,71.9,*,25‐50,Flexible,*,HAMD,17,26.80,24,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
Claghorn 1983,1983,2,3,amitriptyline,No,85,39,*,75‐300,Flexible,180,HAMD,21,26.51,4,RDC,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Claghorn 1995,1995,2,2,mirtazapine,Yes,45,39 (*),*,*‐35,Flexible,17,HAMD,21,24.20,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Yes,
Claghorn 1996,1996,2,3,fluvoxamine,Yes,50,39,*,50‐150,Flexible,93,HAMD,21,26.09,6,DSM‐,North,Single,Unclear,Outpatients,Yes,Unclear,
Clayton 2003,2003,3,3,reboxetine,Yes,150,39.8,0.63,8‐10,Flexible,10,HAMD,21,25.60,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Clayton 2006a,2006,3,3,bupropion,Yes,138,37,*,300‐450,Flexible,309,HAMD,17,*,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Yes,
Clayton 2006b,2006,3,3,escitalopram,Unclear,138,35.4,*,10‐20,Flexible,13,HAMD,17,23.80,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Yes,
Clayton 2013,2013,2,2,desvenlafaxi,Yes,218,53.2,1.00,50‐50,Fixed,50,HAMD,17,22.8,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,No,Yes,
Clayton 2015,2015,3,3,placebo,No,306,41.7,0.58,0‐0,Fixed,0,HAMD,17,23.6,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Clerc 1994,1994,2,2,fluoxetine,No,34,53.6,*,40‐40,Fixed,40,HAMD,21,29.70,6,DSM‐,Europe,Multi‐,Secondary,Inpatients,Yes,Unclear,
Clerc 2001,2001,2,2,fluvoxamine,No,56,52.2,*,200‐200,Fixed,200,HAMD,24,31.40,6,DSM‐,Europe,Multi‐,Secondary,Both,Yes,Yes,
CN104‐002,unpublis,2,3,nefazodone,Yes,60,38.2,0.57,50‐300,Flexible,263,HAMD,17,23.30,6,DSM‐,North,Multi‐,Secondary,Outpatients,Unclear,Yes,
