Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
"Study 19 (FDA,",unpublis,2,2,fluoxetine,Yes,22,34.1,0.75,40‐80,Flexible,*,HAMD,21,28.90,5,RDC,*,Single,Other/Unc,Outpatients,Yes,Unclear,
"Study 205 (FDA,",unpublis,4,5,bupropion,Yes,120,39.6,0.57,200‐200,Fixed,200,HAMD,17,23.20,8,Other,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
"Study 25 (FDA,",unpublis,2,2,fluoxetine,Yes,18,49.4,0.72,*‐80,Other/U,*,HAMD,21,25.20,5,RDC,*,Unclear,Other/Unc,Outpatients,Yes,Unclear,
Study 62a (FDA),unpublis,4,4,fluoxetine,Yes,104,38.31,0.59,60‐60,Fixed,60,HAMD,21,17.20,6,DSM‐III,*,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Study 62b,unpublis,4,4,fluoxetine,Yes,105,39.93,0.58,60‐60,Fixed,60,HAMD,21,24.20,6,DSM‐III,*,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Study 89306,unpublis,3,3,citalopram,Yes,88,*,*,20‐20,Fixed,20,MADR,S,32.70,6,DSM‐,*,Multi‐,Both,Both,Yes,Yes,
Study F1J‐MC‐,unpublis,3,3,duloxetine,Yes,82,39.86,*,40‐120,Flexible,*,HAMD,17,17.88,10,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Szegedi 2006,2006,2,2,mirtazapine,Yes,130,*,*,45‐45,Fixed,45,HAMD,17,24.60,6,DSM‐IV,Europe,Multi‐,Other/Unc,Outpatients,No,Unclear,
Thase 1997,1997,2,2,venlafaxine,Yes,95,40,0.63,75‐225,Flexible,177,HAMD,21,24.53,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Yes,
Thase 2006,2006,2,2,bupropion,Yes,171,37.1,*,150‐450,Flexible,300,HAMD,17,24.90,12,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,Unclear,
Thomson 1982,1982,2,4,amitriptyline,No,31,*,*,150‐150,Fixed,150,HAM,D,17.35,12,RDC,Europe,Multi‐,Primary,Outpatients,Yes,Yes,
Tignol 1993,1993,2,2,paroxetine,Yes,89,43,*,20‐20,Fixed,20,MADR,S,30.74,6,DSM‐,Europe,Multi‐,Secondary,Inpatients,Yes,Unclear,
Timmerman,1993,2,2,fluvoxamine,No,109,*,*,100‐200,Flexible,*,HAMD,17,24.50,6,DSM‐,Europe,Multi‐,Secondary,Outpatients,Unclear,Yes,
Tollefson 1995,1995,2,2,fluoxetine,Yes,335,67.4,0.54,*‐20,Flexible,*,HAMD,17,22.20,6,DSM‐,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
Tomarken 2004,2004,2,2,bupropion,Yes,10,39.4,*,200‐300,Flexible,*,HAMD,17,21.70,6,DSM‐IV,North,Single,Secondary,Outpatients,No,Unclear,
Tourian 2009,2009,4,4,desvenlafaxi,Yes,155,41,,50‐50,Fixed,50,HAMD,17,23,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,No,Unclear,
Trivedi 2004,2004,2,3,placebo,No,149,38.4,*,0‐0,Fixed,0,HAMD,17,23.80,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,
Tsutsui 2000,2000,2,2,paroxetine,Yes,116,39.1,*,10‐40,Flexible,32,HAMD,17,23.60,6,DSM‐IV,Asia,Multi‐,Both,Both,No,Yes,
Tylee 1997,1997,2,2,fluoxetine,No,170,45.5,0.75,20‐20,Fixed,20,HAMD,17,22.50,12,DSM‐IV,Europe,Multi‐,Primary,Outpatients,Unclear,Unclear,
Tzanakaki 2000,2000,2,2,fluoxetine,No,54,49,*,20‐60,Flexible,*,HAMD,21,27.10,6,DSM‐IV,Europe,Multi‐,Secondary,Both,Yes,Unclear,
Upward 1988,1988,2,2,fluoxetine,Yes,13,40,0.55,60‐80,Flexible,75,*,,*,4,*,Europe,Unclear,Other/Unc,Outpatients,Yes,Yes,
Van de Merwe,1984,3,3,amitriptyline,No,5,*,*,100‐150,Flexible,*,HAMD,17,*,4,RDC,Europe,Single,Secondary,Outpatients,Yes,Yes,
VanMoffaert,1995,2,2,sertraline,Yes,83,46.1,*,50‐100,Flexible,*,HAMD,17,24.50,8,DSM‐,Europe,Multi‐,Secondary,Other/Unclea,Yes,Yes,
VanMoffaert,1995,2,2,mirtazapine,Yes,100,46.1,0.69,24‐72,Flexible,*,HAMD,17,29.2,6,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Unclear,Yes,
Vartiainen 1994,1994,2,2,mirtazapine,Yes,60,46 (*),0.58,15‐50,Flexible,33,HAMD,21,25.60,6,*,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,
VEN 600A‐303,unpublis,2,3,venlafaxine,Yes,83,39 (*),0.70,150‐225,Flexible,185,HAMD,21,23.63,6,DSM‐,North,Single,Other/Unc,Outpatients,Yes,Yes,
VEN 600A‐313,unpublis,3,4,venlafaxine,Yes,76,38 (*),0.70,75‐75,Fixed,75,HAMD,21,25.57,6,DSM‐,North,Unclear,Other/Unc,Outpatients,Yes,Yes,
VEN XR 367,unpublis,4,4,venlafaxine,Yes,83,*,0.70,75‐75,Fixed,75,HAMD,21,26.49,8,DSM‐,Europe,Multi‐,Other/Unc,Outpatients,Yes,Yes,
Ventura 2007,2007,2,2,escitalopram,Yes,107,40.6,*,10‐10,Fixed,10,HAMD,24,26.80,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Versiani 1999,1999,2,2,fluoxetine,Yes,77,41.3,0.76,20‐20,Fixed,20,HAMD,21,28.40,8,DSM‐IV,South,Multi‐,Other/Unc,Other/Unclea,Yes,No,
Versiani 2000,2000,2,2,reboxetine,Yes,28,41.4,0.46,10‐10,Fixed,10,HAMD,21,35.70,6,DSM‐,Cross‐,Multi‐,Secondary,Inpatients,Yes,No,
Versiani 2005,2005,2,2,mirtazapine,Yes,145,43 (*),*,15‐60,Flexible,*,HAMD,17,29.00,8,DSM‐IV,Cross‐,Multi‐,Other/Unc,Other/Unclea,Yes,No,
Wade 2002,2002,2,2,placebo,No,189,40,0.78,0‐0,Fixed,0,MADR,S,28.70,8,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,Yes,Unclear,
Wade 2003 (E‐,2003,2,2,mirtazapine,Yes,99,40,*,15‐45,Flexible,35,HAMD,17,23.80,12,DSM‐IV,Europe,Multi‐,Primary,Outpatients,No,No,
Wade 2007,2007,2,2,escitalopram,Yes,144,43.3,*,20‐20,Fixed,20,HAMD,17,22.70,8,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,Unclear,
Walczak 1996,1996,4,5,fluvoxamine,Yes,101,*,*,50‐50,Fixed,50,HAMD,21,*,6,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,No,
Wang 2014,2014,2,3,escitalopram,No,157,40.3,0.75,10‐20,Flexible,11,HAM,D,27.20,8,DSM‐IV,Cross‐,Multi‐,Other/Unc,Other/Unclea,Unclear,Yes,
Wang 2015,2015,2,2,vortioxetine,Yes,213,39.6,0.58,10‐10,Fixed,10,MADR,S,32.30,8,DSM‐IV,Asia,Multi‐,Secondary,Both,Unclear,Yes,
Weisler 1994,1994,2,2,bupropion,Yes,63,40.2,*,225‐450,Flexible,345,HAMD,21,25.80,6,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
WELL 029,unpublis,2,3,bupropion,Yes,25,37.8,0.44,300‐300,Fixed,300,HAMD,21,26.60,4,*,North,Multi‐,Secondary,Inpatients,Unclear,Unclear,
WELL,unpublis,2,2,bupropion,Yes,69,37.6,*,300‐300,Fixed,300,HAMD,17,21.90,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
WELL,unpublis,3,3,fluoxetine,No,155,38.6,*,20‐60,Flexible,*,HAMD,21,25.30,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Wellbutrin 06,unpublis,2,2,bupropion,Yes,56,42 (*),0.19,300‐600,Flexible,*,HAMD,21,28.50,4,*,North,Multi‐,Secondary,Inpatients,Unclear,Unclear,
Wellbutrin 25,unpublis,3,3,bupropion,Yes,45,52.4,0.49,300‐300,Fixed,300,HAMD,21,32.40,4,*,North,Multi‐,Secondary,Inpatients,Unclear,Unclear,
Wheatley 1998,1998,2,2,mirtazapine,Yes,66,47.2,*,15‐60,Flexible,40,HAMD,17,26.00,6,DSM‐III,Europe,Multi‐,Other/Unc,Both,Yes,No,
Wilcox 1994,1994,2,3,amitriptyline,No,50,40 (*),*,60‐300,Flexible,122,HAMD,17,23.8,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Yes,
Winokur 2003,2003,2,2,mirtazapine,Yes,8,40.9,*,15‐45,Flexible,*,HAMD,21,25.60,8,DSM‐IV,North,Unclear,Other/Unc,Other/Unclea,No,No,
Yang 2003,2003,2,2,milnacipran,Yes,27,43.5,*,50‐100,Flexible,*,HAMD,17,25.20,6,DSM‐IV,Asia,Multi‐,Secondary,Outpatients,Unclear,Unclear,
Yevtushenko,2007,2,3,escitalopram,Yes,109,35.2,0.61,10‐10,Fixed,10,MADR,S,25.67,6,DSM‐IV,Europe,Multi‐,Secondary,Outpatients,Unclear,Yes,
Young 1987,1987,2,2,fluoxetine,Unclear,32,46.1,0.68,40‐80,Flexible,73,HAM,D,44.00,6,RDC,Europe,Unclear,Secondary,Outpatients,Unclear,Yes,
Zajecka 2010,2010,3,3,agomelatine,Yes,170,44.2,0.69,25‐25,Fixed,25,HAMD,17,26.70,8,DSM‐IV,North,Multi‐,Primary,Outpatients,No,No,
Zhang 2014,2013,2,2,trazodone,No,192,39.5,0.62,150‐450,Flexible,273,HAMD,17,21.60,6,DSM‐IV,Asia,Multi‐,Secondary,Both,Yes,Unclear,
Zivkov 1995,1997,2,2,mirtazapine,Yes,103,48.5,*,*,Other/U,*,HAMD,17,27.30,6,DSM‐III,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
845,unpublis,2,3,bupropion,Yes,56,36.4,0.67,150‐450,Flexible,*,HAMD,21,24.60,6,*,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
003‐008 (FDA),unpublis,3,5,mirtazapine,Yes,30,38 (*),0.63,15‐15,Fixed,15,HAMD,21,26.00,6,DSM‐III,North,Single,Other/Unc,Outpatients,Yes,Unclear,
003‐042,unpublis,4,4,mirtazapine,Yes,70,41,0.71,15‐15,Fixed,15,HAMD,21,25.30,8,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Yes,Unclear,
003‐048,unpublis,3,3,mirtazapine,Yes,210,41.4,0.60,45‐45,Fixed,45,HAMD 17,22.30,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,,
030A2‐,unpublis,2,3,nefazodone,Yes,76,44.9,0.53,50‐250,Flexible,175,*,*,6,DSM‐III,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Yes,,
03A0A‐004A,unpublis,3,3,nefazodone,Yes,80,40.1,0.54,150‐300,Flexible,276,HAMD 17,23.20,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Unclear,Yes,,
0600A1‐300,unpublis,3,*,venlafaxine,Yes,58,*,*,*,Other/U,*,*,*,*,*,*,Unclear,Other/Unc,Other/Unclea,Unclear,Unclear,,
0600A1‐372,unpublis,2,2,venlafaxine,Yes,156,*,*,*,Other/U,*,*,*,6,DSM‐IV,North,Unclear,Other/Unc,Outpatients,Unclear,Unclear,,
0600A‐326,unpublis,2,2,venlafaxine,Unclear,60,*,*,*,Other/U,*,*,*,6,DSM‐,*,*,Other/Unc,Other/Unclea,Unclear,Unclear,,
0600A‐332,unpublis,2,2,venlafaxine,Yes,27,*,*,*,Other/U,*,*,*,6,DSM‐,North,Unclear,Other/Unc,Outpatients,Unclear,Unclear,,
0600A‐347,unpublis,2,2,venlafaxine,Yes,63,*,*,*,Other/U,*,*,*,*,*,*,Unclear,Other/Unc,Other/Unclea,Unclear,Unclear,,
0600A‐349,unpublis,2,2,paroxetine,No,85,*,*,*,Other/U,*,*,*,8,DSM‐,*,Unclear,Other/Unc,Other/Unclea,Unclear,Unclear,,
0600A‐626,unpublis,2,2,venlafaxine,Yes,79,*,*,*,Other/U,*,*,*,8,DSM‐IV,North,Unclear,Other/Unc,Outpatients,Unclear,Unclear,,
0600A‐654,unpublis,2,2,venlafaxine,Yes,131,*,*,*‐150,Flexible,*,MADRS,*,12,DSM‐IV,*,Unclear,Other/Unc,Other/Unclea,Unclear,Unclear,,
0600B1‐367,unpublis,2,2,paroxetine,No,81,*,*,*,Other/U,*,HAMD,*,8,DSM‐,*,Unclear,Other/Unc,Other/Unclea,Unclear,Unclear,,
